run,layer,step_gap,jitter_raw,lag1_autocorr,net_displacement,jitter_detrended_w3,jitter_detrended_w5,jitter_detrended_w7,J_lag1,J_lag2,J_lag4,J_lag8,J_lag12,J_lag16,structure_alpha,jitter_detrended_linear
artifacts/exp1/alflb/20260819-195028,2,25,7.803074359893799,0.26750973121799615,41.805145263671875,4.458418399546106,6.63823069094639,7.448120373255343,7.803074359893799,12.28515625,13.498140335083008,15.055496215820312,17.817821502685547,22.123271942138672,0.3178727947291978,7.705615245052129
artifacts/exp1/alflb/20260819-195028,3,25,8.275689125061035,0.35239387460919075,42.22679138183594,4.386870090545863,6.399041241646605,7.459876756278486,8.275689125061035,13.572672843933105,16.223146438598633,18.297536849975586,22.607877731323242,26.49386215209961,0.37313269614939104,8.02567766743066
artifacts/exp1/alflb/20260819-195028,4,25,8.290557861328125,0.3999355303532492,43.11692428588867,4.191027480531514,6.409814112169809,7.46981362599957,8.290557861328125,13.717365264892578,16.071842193603516,18.760852813720703,22.746091842651367,26.88468360900879,0.3775317511393865,8.055101379559774
artifacts/exp1/alflb/20260819-195028,5,25,8.202765464782715,0.4270648653978769,46.09965896606445,4.140103491854827,6.197072858761516,7.293309791283446,8.202765464782715,13.513590812683105,16.495370864868164,18.777006149291992,22.596904754638672,26.327770233154297,0.37654872176949566,7.936569783874591
artifacts/exp1/alflb/20260819-195028,6,25,8.12100887298584,0.42000216167023224,47.11472702026367,4.160238742044412,6.0801530549790845,7.206503944439353,8.12100887298584,13.349875450134277,16.2393856048584,18.625022888183594,22.57469940185547,27.066070556640625,0.38644418776077927,7.831853626188524
artifacts/exp1/alflb/20260819-195028,7,25,8.104525566101074,0.43462228848173196,52.127593994140625,3.965727386497063,5.772945274750879,6.929182260903248,8.104525566101074,13.624052047729492,17.24007797241211,20.005903244018555,24.204299926757812,28.544414520263672,0.41031595374120533,7.737438087541951
artifacts/exp1/alflb/20260819-195028,8,25,8.438318252563477,0.5250980389532893,48.98870086669922,3.740983718137098,5.8479474904569155,7.22095373080708,8.438318252563477,14.393524169921875,18.170223236083984,20.664552688598633,24.976669311523438,29.735376358032227,0.4057302859447221,8.130138088666152
artifacts/exp1/alflb/20260819-195028,9,25,8.393357276916504,0.5220441665355132,43.88212585449219,3.543313826020341,5.598912377890763,7.024253428883274,8.393357276916504,14.428227424621582,18.156383514404297,20.865318298339844,25.244281768798828,31.25705909729004,0.41969696952759267,8.135984477689412
artifacts/exp1/alflb/20260824-232033,2,25,7.86488151550293,0.2856751974359025,37.370086669921875,4.3239546703229905,6.650005940822988,7.6204368914215115,7.86488151550293,12.510407447814941,13.508196830749512,15.01339054107666,17.653301239013672,22.333641052246094,0.3132305209550141,7.789607877167052
artifacts/exp1/alflb/20260824-232033,3,25,8.333489418029785,0.3764462720267983,42.77336883544922,4.2635513662574525,6.324007782727063,7.441925418143066,8.333489418029785,13.818048477172852,16.769968032836914,19.06537437438965,23.315357208251953,27.284753799438477,0.38206093112918826,8.077859597359314
artifacts/exp1/alflb/20260824-232033,4,25,8.399381637573242,0.43784997131047054,38.97857666015625,4.166498774287895,6.506422870327516,7.627795577387106,8.399381637573242,13.950173377990723,16.242265701293945,18.99997901916504,22.875505447387695,27.249053955078125,0.37593237604410984,8.18917848385637
artifacts/exp1/alflb/20260824-232033,5,25,8.185471534729004,0.4529842245455221,45.896644592285156,3.9913908189538057,6.11554148425184,7.255189760175036,8.185471534729004,13.59031867980957,16.770627975463867,19.214418411254883,23.054765701293945,26.549930572509766,0.3826656283328998,7.905824650826859
artifacts/exp1/alflb/20260824-232033,6,25,8.256794929504395,0.418275369199497,43.39801788330078,4.187214382946428,6.239041851372889,7.365522593468515,8.256794929504395,13.603903770446777,16.353479385375977,19.142982482910156,23.155662536621094,27.832294464111328,0.39109434352125894,8.00977895075517
artifacts/exp1/alflb/20260824-232033,7,25,7.965460300445557,0.4442497406458502,49.0823974609375,3.8275630821175355,5.705630493706194,6.879407024867375,7.965460300445557,13.384018898010254,16.674631118774414,19.248756408691406,23.379642486572266,27.741254806518555,0.4039636427564606,7.657132635385922
artifacts/exp1/alflb/20260824-232033,8,25,8.445541381835938,0.5154691917746558,46.06842803955078,3.772482002256164,5.917213264331061,7.254373695608171,8.445541381835938,14.368545532226562,18.290029525756836,20.931625366210938,25.328908920288086,29.650497436523438,0.40829591559945017,8.120384257434456
artifacts/exp1/alflb/20260824-232033,9,25,8.544744491577148,0.5464060490617566,49.41033935546875,3.5542358491028128,5.6841178219651365,7.137746116850642,8.544744491577148,14.75881576538086,18.69202995300293,21.702747344970703,26.346521377563477,32.26708984375,0.4273096949261032,8.220409035728409
